System,State,Headline,Sentiment_1,Sentiment_2,Sentiment_2 Numerical,Metadata
Aquaculture,New South Wales,Central Qld prawn farm promises new jobs ahead of expansion,,Positive,3,Geelong Advertiser18 Octbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Central Qld prawn farm promises new jobs ahead of expansion,,Positive,3,Queensland Country Lifebookmark_bordersharemore_vert
Aquaculture,Tasmania,Change in salmon licencing laws could generate an additional $2 billion for Tasmania,,Positive,3,Queensland Country Life12 Julybookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Charting a Course Toward Offshore Aquaculture,,Neutral,2,Premier of South Australia27 May 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,Cherabin commercial farming by traditional owners in WA's far north to be an Australian first,,Neutral,2,ABC News27 Octbookmark_bordersharemore_vert
Aquaculture,South Australia,Children to learn in nature with SA first program,,NA,0,Courier Mail7 May 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,China pulls the plug on Australia's biggest live reef fish exporter,,NA,0,Gold Coast Bulletin10 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Chinese Companies Are Combining Offshore Wind With Fish Farms,,Neutral,2,Mirage News8 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,Claims maps reveal aquaculture expansion plan,,Neutral,2,The Fish Site19 Jan 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,Clean Seas set for 4000-tonne kingfish expansion,,Neutral,2,North Queensland Registerbookmark_bordersharemore_vert
Aquaculture,Queensland,Clean Seas Spencer Gulf fish farm bid splits community and exposes tough choices facing regional cities,,Negative,1,ABC Onlinebookmark_bordersharemore_vert
Aquaculture,South Australia,Clean Seas Spencer Gulf fish farm bid splits community and exposes tough choices facing regional cities,,Negative,1,Newsportbookmark_bordersharemore_vert
Aquaculture,Victoria,Clean Seas Spencer Gulf fish farm bid splits community and exposes tough choices facing regional cities,,Negative,1,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,Clean Seas Spencer Gulf fish farm bid splits community and exposes tough choices facing regional cities,,Negative,1,NADorset to host UK's first redclaw crayfish RASThe Fish Site12 Novbookmark_bordersharemore_vert
Aquaculture,Queensland,Close the Loop nets Oceania Agencies,,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Queensland,Cobia's fine dining success to kick-start multi-million-dollar aquaculture in northern Australia,,Positive,3,Business News25 May 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Cobia's fine dining success to kick-start multi-million-dollar aquaculture in northern Australia,,Positive,3,The Mercury6 AugOpinionbookmark_bordersharemore_vert
Aquaculture,New South Wales,Cobia's fine dining success to kick-start multi-million-dollar aquaculture in northern Australia,,Positive,3,The Australian6 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Coffin Bay oyster growers back in business,,Positive,3,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Western Australia,Collaborating with Traditional Owners on future marine conservation reserves,,NA,0,Food & Drink Business8 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,"Coming up, Down Under â€“ Fish Farmer Magazine",,NA,0,Food & Drink Business11 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,"Coming up, Down Under â€“ Fish Farmer Magazine",,NA,0,Premier of South Australia6 Septbookmark_bordersharemore_vert
Aquaculture,Victoria,"Coming up, Down Under â€“ Fish Farmer Magazine",,NA,0,Premier of South Australia18 Decbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Coming up, Down Under â€“ Fish Farmer Magazine",,NA,0,The Fish Site22 Novbookmark_bordersharemore_vert
Aquaculture,Victoria,COMMENT: NSW Welfare reform â€“ Beware the Trojan horse,,NA,0,"NAAquaculture Parasiticides Market to Witness Growth Acceleration | Novartis AG, Virbac SA, Boehringer Ingelheim â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert"
Aquaculture,New South Wales,COMMENT: NSW Welfare reform â€“ Beware the Trojan horse,,NA,0,Premier of South Australia15 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,Commercial fishermen no more profitable after controversial fishing reforms in NSWABC Newsbookmark_bordersharemore_vert,,NA,0,"NAAquaculture Therapeutics Industry Market 2020 Global Industry Size, Revenue Growth Development, Business Opportunities, Future Trends, Top Key Players, Market Share and Global Analysis by Forecast to 2024 â€“ Industrial ITIndustrial IT2 days agobookmark_bordersharemore_vert"
Aquaculture,New South Wales,Commercial fishermen no more profitable after controversial fishing reforms in NSWABC Newsbookmark_bordersharemore_vert,,NA,0,FOOD Magazine - Australia21 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,Community activism and seals among Tassal's challenges,,Neutral,2,"NAAquaculture Market: Value Chain, Stakeholder Analysis and Trends and Top Key Companies | American Abalone Farms, Austevoll Seafood ASA, LerÃ¸y Seafood Group ASA, Bakkafrost â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert"
Aquaculture,New South Wales,Community activism and seals among Tassal's challenges,,Neutral,2,Premier of South Australia21 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Companies want to grow seaweed in California to fight climate change. They're held back by environmental regulations,,Positive,3,Premier of South Australia19 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Company on lookout for more workers at Parramatta Creek site,,Neutral,2,Yahoo Finance3 days agobookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Congress urged to back aquacultural expansion,,Positive,3,"H, Bentoli TECHNA SA, Biomar â€“ Industrial ITIndustrial IT6 days agobookmark_bordersharemore_vert"
Aquaculture,Australian Capital Territory,Contrasting fortunes for aquaculture on Canada's east and west coasts,,Neutral,2,Premier of South Australia27 May 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Coral trout hatchery in Cairns brings fish bred in captivity to the menu,,Neutral,2,"NAObituary - William L. Shelton, 1939-2021 - World Aquaculture Societywas.org16 Decbookmark_bordersharemore_vert"
Aquaculture,Western Australia,Coral trout hatchery in Cairns brings fish bred in captivity to the menu,,Neutral,2,"NAGlobal Aquaculture Insurance Market Outlook 2021 Analysis by Leading Keyplayers | AXA,PICC,QBE,JLT â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert"
Aquaculture,South Australia,Corporate Ladder: your weekly guide to executive appointments,,NA,0,InDaily10 Septbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Could Indonesia's fledgling eel farming sector be on the cusp of a breakthrough?,,Positive,3,The Lead South Australiabookmark_bordersharemore_vert
Aquaculture,Queensland,Could Queensland be â€œthe aquaculture capital of the worldâ€?,,Neutral,2,A. -- Moody's assigns Ba1 first-time rating to Agrosuper; stable outlookYahoo Finance4 days agobookmark_bordersharemore_vert
Aquaculture,Victoria,Crayfish could be next boom seafood industry with breakthrough breeding technology,,Positive,3,Nature.com24 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Crayfish could be next boom seafood industry with breakthrough breeding technology,,Positive,3,The Maritime Executive23 Decbookmark_bordersharemore_vert
Aquaculture,Queensland,Crayfish farm collapses owing $1m,,Neutral,2,The Fish Site2 June 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,Crocodile jumps out of water into fishers' boat in Kakadu National Park,,NA,0,The Fish Site28 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,Cuttlefish battle brewing over kingfish farm plans,,Negative,1,InDaily30 Julybookmark_bordersharemore_vert
Aquaculture,Victoria,Cuttlefish battle brewing over kingfish farm plans,,Negative,1,The Islander14 Octbookmark_bordersharemore_vert
Aquaculture,New South Wales,Cuttlefish battle brewing over kingfish farm plans,,Negative,1,"NAAquaculture boom at our fingertips: study | The Times | Victor Harbor, SAVictor Harbor Times7 Decbookmark_bordersharemore_vert"
Aquaculture,Queensland,Deakinâ€™s $10m bid to become aquaculture leader,,Neutral,2,Daily18 Octbookmark_bordersharemore_vert
Aquaculture,South Australia,Deakinâ€™s $10m bid to become aquaculture leader,,Neutral,2,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Deakinâ€™s $10m bid to become aquaculture leader,,Neutral,2,The Adelaide Reviewbookmark_bordersharemore_vert
Aquaculture,New South Wales,Deakinâ€™s $10m bid to become aquaculture leader,,Neutral,2,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,Deakinâ€™s $10m bid to become aquaculture leader,,Neutral,2,ABC News20 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,DEP finds no permit violations associated with recent 'die-off' incident at salmon farm off MDINews,,Neutral,2,ABC News2 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Dividend growth investing special mention: Tassal (ASX:TGR)Rask Media17 Decbookmark_bordersharemore_vert,,NA,0,The Advertiser19 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Diving into sustainable aquaculture,,Positive,3,The Islanderbookmark_bordersharemore_vert
Aquaculture,Western Australia,Diving into sustainable aquaculture,,Positive,3,The Fish Site17 May 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Division of Marine Fisheries accepting applications for CARES Act II Fisheries Relief Program | NC DEQGovernor Roy Cooper13 Augbookmark_bordersharemore_vert,,NA,0,The Fish Site16 Novbookmark_bordersharemore_vert
Aquaculture,Queensland,Dorset to host UK's first redclaw crayfish RASThe Fish Site12 Novbookmark_bordersharemore_vert,,NA,0,GlobeNewswire12 Julybookmark_bordersharemore_vert
Aquaculture,Tasmania,DPIPWE gave salmon farm giant Tassal green light to trap seals,,Negative,1,ABC News15 Septbookmark_bordersharemore_vert
Aquaculture,Western Australia,DPIRD maps out its R&D in WAFarm Weekly23 Augbookmark_bordersharemore_vert,,NA,0,Bloomberg6 Augbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Ecologist rejects â€˜disingenuousâ€™ salmon claims,,Negative,1,ABC News2 Augbookmark_bordersharemore_vert
Aquaculture,South Australia,Employment award winners are grinners,,NA,0,InDailybookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Ensuring the sustainable growth of the US offshore aquaculture sector,,Positive,3,Port Lincoln Times2 Decbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Environmental concerns mount amid the rise of cotton growing in Northern Territory,,NA,0,The Islander10 Decbookmark_bordersharemore_vert
Aquaculture,Victoria,Environmentalists call on treasurer to reject Brazilian meat giantâ€™s bid for Tasmanian salmon farmer,,Neutral,2,The Islanderbookmark_bordersharemore_vert
Aquaculture,New South Wales,Environmentalists call on treasurer to reject Brazilian meat giantâ€™s bid for Tasmanian salmon farmer,,Neutral,2,The Advertiser18 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Environmentalists call on treasurer to reject Brazilian meat giantâ€™s bid for Tasmanian salmon farmer,,Neutral,2,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Victoria,Estuaries are warming at twice the rate of oceans and atmosphere,,NA,0,European Commission12 Novbookmark_bordersharemore_vert
Aquaculture,New South Wales,Estuaries are warming at twice the rate of oceans and atmosphere,,NA,0,The Advertiser10 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,Exmoor Station prawn farm part of northern aquaculture boom,,Neutral,2,FOOD Magazine - Australia26 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,Exmoor Station prawn farm part of northern aquaculture boom,,Neutral,2,The Islander12 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,Exmoor Station prawn farm part of northern aquaculture boom,,Neutral,2,Food For Mzansi4 May 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,Exmoor to be developed as major aquaculture operation,,Neutral,2,PRNewswire16 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,Extinction threat as China crisis deepens,,NA,0,Food For Mzansi29 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Extinction threat as China crisis deepens,,NA,0,Town of the YearInDaily15 Julybookmark_bordersharemore_vert
Aquaculture,Victoria,Extinction threat as China crisis deepens,,NA,0,Port Lincoln Timesbookmark_bordersharemore_vert
Aquaculture,New South Wales,Extinction threat as China crisis deepens,,NA,0,Port Lincoln Timesbookmark_bordersharemore_vert
Aquaculture,Western Australia,Extinction threat as China crisis deepens,,NA,0,NEWS27 Septbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Extinction threat as China crisis deepens,,NA,0,ABC News27 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,Farmed prawn production to increase in North Queensland,,Neutral,2,NABicheno abalone gets green tick from ASCThe Examiner23 Octbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Farmed salmon health claims â€˜a big fat lieâ€™ as lab tests prompt investigation call,,Negative,1,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Farmed salmon health claims â€˜a big fat lieâ€™ as lab tests prompt investigation call,,Negative,1,Port Lincoln Times7 July 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,"Fears for environment after 50,000 fish escape salmon farm in Tasmania",,Negative,1,NEWS.com.au18 Novbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Fears for environment after 50,000 fish escape salmon farm in Tasmania",,Negative,1,AndMarkets.comYahoo Finance27 Octbookmark_bordersharemore_vert
Aquaculture,Queensland,Feds on the hook for damages over prawn disease outbreak,,Negative,1,Reuters18 June 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Feds on the hook for damages over prawn disease outbreak,,Negative,1,The Advertiser8 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,Feds on the hook for damages over prawn disease outbreak,,Negative,1,ABC News20 Augbookmark_bordersharemore_vert
Aquaculture,Queensland,Festive catch of the day as seafood retailer named #eatqld Champion,,NA,0,Bloomberg21 Septbookmark_bordersharemore_vert
Aquaculture,Queensland,Fill n' Chill with plenty of Queensland Seafood this Christmas,,NA,0,Fish Farmer Magazine16 Novbookmark_bordersharemore_vert
Aquaculture,Victoria,Fill n' Chill with plenty of Queensland Seafood this Christmas,,NA,0,Farmer's Weekly20 Jan 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Fill n' Chill with plenty of Queensland Seafood this Christmas,,NA,0,The Islander12 May 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,First algae aquaculture lease granted off the Yorke Peninsula,,Neutral,2,ABC News23 Jan 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Fish exclusion screens to stop millions of fish each year being pumped out of the Macquarie River,,NA,0,Premier of South Australia19 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,Fish exclusion screens to stop millions of fish each year being pumped out of the Macquarie River,,NA,0,"NATooperang Trout Farm is the largest breeder in South Australia | The Times | Victor Harbor, SAVictor Harbor Timesbookmark_bordersharemore_vert"
Aquaculture,Tasmania,Fish farm expansion earmarked for Circular Head region in Tasmania's north west,,Neutral,2,Global Legal Chronicle2 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Fish farmers grapple with sustainability challenge,,Neutral,2,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,Tasmania,Fish farming inquiry kicks off,,Neutral,2,PRNewswire27 May 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,"Fish farming solution is in the cloud - UQ News - The University of Queensland, Australia",,Neutral,2,GlobeNewswire29 Octbookmark_bordersharemore_vert
Aquaculture,Victoria,Fish farming takes off in Murrumbidgee as restaurants get a taste for Murray cod,,Positive,3,The Advertiser3 May 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Fish farming takes off in Murrumbidgee as restaurants get a taste for Murray cod,,Positive,3,NAJBS's Aussie aquaculture investment provides 'platform for new global growth'Beef Central18 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,Fish poo project going swimmingly on this Tasmanian farm as soil reaps benefits,,Positive,3,NASustainable aquafeed and aquaculture production systems as impacted by challenges of global food security and climate change - World Aquaculture Societywas.org13 Decbookmark_bordersharemore_vert
Aquaculture,Queensland,Fish poo project going swimmingly on this Tasmanian farm as soil reaps benefits,,Positive,3,Port Lincoln Times30 Novbookmark_bordersharemore_vert
Aquaculture,Western Australia,Fish poo project going swimmingly on this Tasmanian farm as soil reaps benefits,,Positive,3,Farmer's Weeklybookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Fisheries and Aquaculture Legislation - Fisheries, Forestry and Agriculture",,NA,0,RenewEconomy20 Octbookmark_bordersharemore_vert
Aquaculture,Victoria,Fisheries expert developed taste for fine viniculture,,NA,0,The Lead South Australiabookmark_bordersharemore_vert
Aquaculture,New South Wales,Fisheries expert developed taste for fine viniculture,,NA,0,Geelong Advertiser18 Octbookmark_bordersharemore_vert
Aquaculture,South Australia,Fishers all at sea over Lincoln desal plant plan,,NA,0,GlobeNewswire28 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,Fishers left reeling over contentious desal plant site,,NA,0,ABC News7 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Fishers left reeling over contentious desal plant site,,NA,0,Food For Mzansi8 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Fishers left reeling over contentious desal plant site,,NA,0,SeafoodSourcebookmark_bordersharemore_vert
Aquaculture,Western Australia,"Fishing changes needed with low stocks of dhufish, pink snapper report finds",,NA,0,InDaily7 June 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,"Fishing deemed 'COVID- friendly' amid lockdowns, industry welcomes huge take-up in the sport",,NA,0,NAAquaculture Is Key To Meet Increasing Food Demand: FAOOutlook India25 Septbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Fishing deemed 'COVID- friendly' amid lockdowns, industry welcomes huge take-up in the sport",,NA,0,Port Lincoln Times17 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Fishmeal Market Forecast to 2028 - COVID-19 Impact and Global Analysis By Source and Application,,NA,0,SeaWestNews10 Augbookmark_bordersharemore_vert
Aquaculture,Western Australia,Five face charges for alleged stealing of $4 m worth of salmon at Sydney processing plant,,NA,0,"Pont, Elanco, Merck, Vetoquinol SA â€“ IndustriIndustrial IT5 days agobookmark_bordersharemore_vert"
Aquaculture,Western Australia,Food guide connecting Great Southern businesses and consumers,,NA,0,The Mercury6 AugOpinionbookmark_bordersharemore_vert
Aquaculture,South Australia,Food workers' jobs to go as South Australian plant fails to find new work,,NA,0,InDaily19 Octbookmark_bordersharemore_vert
Aquaculture,Tasmania,"Forrest, Flanagan Back Land-Based Aquaculture",,Positive,3,The Islander6 June 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Forrest, Flanagan Back Land-Based Aquaculture",,Positive,3,Townsville Bulletin12 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,FRDC: How Australian consumers support sustainable seafood,,NA,0,FoodNavigator.com16 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,FRDC: How Australian consumers support sustainable seafood,,NA,0,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Queensland,Fresh North Queensland prawns on table,,NA,0,The Advertiserbookmark_bordersharemore_vert
Aquaculture,Tasmania,Fur seals â€˜subjected to horrible practicesâ€™The Mercury19 June 2021bookmark_bordersharemore_vert,,Negative,1,Courier Mail16 Decbookmark_bordersharemore_vert
Aquaculture,Queensland,GALLERY | New prawn farm already looking to future,,Positive,3,The Australian3 days agobookmark_bordersharemore_vert
Aquaculture,Victoria,Geraldton fish nursery to be built by WA Government after it rejects two private proposals,,Neutral,2,Irish Farmers Journal26 Julybookmark_bordersharemore_vert
Aquaculture,New South Wales,Geraldton fish nursery to be built by WA Government after it rejects two private proposals,,Neutral,2,ABC News20 Augbookmark_bordersharemore_vert
Aquaculture,Western Australia,Geraldton fish nursery to be built by WA Government after it rejects two private proposals,,Neutral,2,Central Western Daily7 Decbookmark_bordersharemore_vert
Aquaculture,South Australia,Get a glimpse of South Australia's aquaculture industry,,NA,0,Media Statements5 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Ghana updating its laws, adding patrol boats to fight IUU fishing",,NA,0,NEWS27 Septbookmark_bordersharemore_vert
Aquaculture,Tasmania,"Giant salmon ships bound for Tasmania, as local sailors told to 'be on the look out'ABC Newsbookmark_bordersharemore_vert",,NA,0,ABC News2 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,"Global Aquaculture Insurance Market Outlook 2021 Analysis by Leading Keyplayers | AXA,PICC,QBE,JLT â€“ Industrial ITIndustrial IT4 days agobookmark_bordersharemore_vert",,Neutral,2,ABC News23 Jan 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,Global Aquaculture Market to Reach $232.4 Billion by 2026,,Neutral,2,The Fish Site15 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,Global Aquaculture Market to Reach $245.2 Billion by 2027,,Neutral,2,The Guardian Australia4 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Global Sea Bass Market Opportunity Analysis and Industry Forecast 2021-2030: Rising Demand for Organic Seafood Boosting Market Proliferation - Research,,NA,0,Premier of South Australia27 May 2021bookmark_bordersharemore_vert
Aquaculture,South Australia,Global Sea Bass Market Report 2021: Sustainable Sea Bass,,NA,0,Goulburn Post27 Julybookmark_bordersharemore_vert
Aquaculture,South Australia,Global Sea Bass Market to Garner $7.9 billion by 2030: Allied Market Research,,NA,0,Geelong Advertiser18 Octbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"Global seafood supply could shrink if we donâ€™t act now, study says. Hereâ€™s why",,NA,0,Foodprocessing12 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,Go,,NA,0,ABC News1 July 2021bookmark_bordersharemore_vert
Aquaculture,Queensland,"Golden harvest as value of farms, crops rise",,NA,0,The Guardian Australia19 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,"Golden harvest as value of farms, crops rise",,NA,0,ABC News2 Augbookmark_bordersharemore_vert
Aquaculture,New South Wales,"Golden harvest as value of farms, crops rise",,NA,0,Fish Farmer Magazine16 Novbookmark_bordersharemore_vert
Aquaculture,Northern Territory,"Golden harvest as value of farms, crops rise",,NA,0,The Fish Site2 July 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,"Golden harvest as value of farms, crops rise",,NA,0,NAJBS's Aussie aquaculture investment provides 'platform for new global growth'Beef Central18 Augbookmark_bordersharemore_vert
Aquaculture,Victoria,Goulburn's Marianvale Blue Murray Cod farm destocks due to downturn,,Negative,1,News - The University of Sydneybookmark_bordersharemore_vert
Aquaculture,New South Wales,Goulburn's Marianvale Blue Murray Cod farm destocks due to downturn,,Negative,1,Mirage News22 hours agobookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,gov.ie - Aquaculture & Foreshore Management,,NA,0,The Mandarin25 Julybookmark_bordersharemore_vert
Aquaculture,Northern Territory,Government approves NT prawn aquaculture facility,,Neutral,2,Courier Mail28 Septbookmark_bordersharemore_vert
Aquaculture,Victoria,"Government grants to support Australian ingenuity and create jobs | Ministers for the Department of Industry, Science, Energy and Resources",,NA,0,The Guardian22 June 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,"Government grants to support Australian ingenuity and create jobs | Ministers for the Department of Industry, Science, Energy and Resources",,NA,0,The Fish Site5 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Western Australia,"Government grants to support Australian ingenuity and create jobs | Ministers for the Department of Industry, Science, Energy and Resources",,NA,0,ABC News18 Jan 2021bookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Governor Lamont Signs Legislation Supporting Continued Growth of Connecticut's Shellfish Industry,,NA,0,The Mandarin3 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Greece is the word when it comes to aquaculture,,Neutral,2,FOOD Magazine - Australia10 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Greens label decision by incomplete fish farm panel in Tasmania an 'outrage'ABC Newsbookmark_bordersharemore_vert,,Negative,1,NEWS.com.au18 Novbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,Griggs lands aqua reform gig,,NA,0,News - The University of Sydney30 June 2021bookmark_bordersharemore_vert
Aquaculture,Northern Territory,Groote Eylandt mapping study off NT coast finds diversity similar to Great Barrier Reef,,NA,0,The Guardianbookmark_bordersharemore_vert
Aquaculture,South Australia,Hagen Stehr: SAâ€™s big fish on the secrets of his success,,NA,0,ABC News8 Decbookmark_bordersharemore_vert
Aquaculture,Western Australia,Hatch hires shellfish expert to support Irish aquaculture,,Neutral,2,Port Stephens Examinerbookmark_bordersharemore_vert
Aquaculture,Northern Territory,Here's four major northern ag developments that have gained momentum recently,,NA,0,FishSite.combookmark_bordersharemore_vert
Aquaculture,Western Australia,Here's four major northern ag developments that have gained momentum recently,,NA,0,South Coast Register28 Septbookmark_bordersharemore_vert
Aquaculture,South Australia,Hiramasa Kingfish: SA's aquaculture monarch,,Neutral,2,Sydney Morning Herald22 Mar 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Hobart Town Hall Meeting on Salmon Farming,,Neutral,2,The Mercury27 Julybookmark_bordersharemore_vert
Aquaculture,Queensland,Hong Kong investor buys axed Qld government fish breeding project and picks up the profits,,Neutral,2,Mirage News2 Decbookmark_bordersharemore_vert
Aquaculture,Australian Capital Territory,"How FG spent about N56.9bn on women, youths in 2021 fiscal year",,NA,0,SmartCompany.com.aubookmark_bordersharemore_vert
Aquaculture,Western Australia,How much do marine heatwaves cost? The economic losses amount to billions and billions of dollars,,Negative,1,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Tasmania,How salmon farming pushed Macquarie Harbour to the limit,,Negative,1,Australian Hospitality Magazine19 Augbookmark_bordersharemore_vert
Aquaculture,Tasmania,How Tasmania's salmon farms are being cleaned up by author Richard Flanagan,,Negative,1,The Guardian27 Apr 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,How Tasmania's salmon farms are being cleaned up by author Richard Flanagan,,Negative,1,RenewEconomy20 Octbookmark_bordersharemore_vert
Aquaculture,New South Wales,How Tasmania's salmon farms are being cleaned up by author Richard Flanagan,,Negative,1,Courier Mail14 Novbookmark_bordersharemore_vert
Aquaculture,South Australia,How to start fish farming in just 10 easy steps,,Positive,3,NEWS.com.au2 Feb 2021bookmark_bordersharemore_vert
Aquaculture,Victoria,Huge boost for flathead stocks in NSW South Coast fishing havens!,,NA,0,Fishing World18 Mar 2021bookmark_bordersharemore_vert
Aquaculture,New South Wales,Huge boost for flathead stocks in NSW South Coast fishing havens!,,NA,0,ABC News24 Septbookmark_bordersharemore_vert
Aquaculture,Victoria,Huon Aquaculture and NSW DPI transfer yellowtail kingfish into sea pens off Port Stephens,,Neutral,2,"NAAquaculture boom at our fingertips: study | Bay Post-Moruya Examiner | Batemans Bay, NSWBay Post/Moruya Examiner7 Decbookmark_bordersharemore_vert"
Aquaculture,New South Wales,Huon Aquaculture and NSW DPI transfer yellowtail kingfish into sea pens off Port Stephens,,Neutral,2,Area News5 May 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Huon Aquaculture bosses expect investments will pay off,,Neutral,2,ABC Newsbookmark_bordersharemore_vert
Aquaculture,Tasmania,"Huon Aquaculture confirms 120,000 salmon escaped in May storms, amid calls for more industry 'transparency'ABC Newsbookmark_bordersharemore_vert",,Negative,1,ABC News17 June 2021bookmark_bordersharemore_vert
Aquaculture,Tasmania,Huon Aquaculture defends itself from #Fresh,,Negative,1,Mirage News11 Novbookmark_bordersharemore_vert
Aquaculture,Tasmania,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,,Neutral,2,"Minister for Industry, Science25 Augbookmark_bordersharemore_vert"
Aquaculture,Queensland,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,,Neutral,2,ABC News8 Decbookmark_bordersharemore_vert
Aquaculture,South Australia,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,,Neutral,2,ABC News15 Septbookmark_bordersharemore_vert
Aquaculture,Victoria,Huon Aquaculture opens Perth processing facility as first step west for Tasmanian seafood giant,,Neutral,2,Fishing World7 Septbookmark_bordersharemore_vert
