Year of Reg,Year,CN-8,Comment,CN-8 product name,Explanation,CF
1925/2017,2018,1504 30 90,unchanged,"– Fats and oils and their fractions, of marine mammals: – – Other","Fish-oil products are considered as by-products. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1603 00 10,unchanged,"Extracts and juices of  fish or crustaceans, molluscs or other aquatic invertebrates:- In immediate packings of a net content of 1 kg or less","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1603 00 80,unchanged,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates: - other","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1604 11 00,unchanged,"Prepared or preserved salmon, whole or in pieces (excl. minced)","The USA industry reports indicate a yield between 67% (Sockeye) and 65% (Pink) for round salmon. The proposed average CF is thererfor 1,52",1.52
1925/2017,2018,1604 12 10,unchanged,"Fillets of herring, raw, merely coated with butter or breadcrumbs, whether or not pre-fried in oil, frozen","The propsoed CF is the same as for 03042075 (2,05), corrected with tolerance of 20% for the weight of bread cramps (2,05*80%=1,64) (source: Oceanic Developpement survey).",1.64
1925/2017,2018,1604 12 91,unchanged,"Herrings, prepared or preserved, whole or in pieces, in airtight containers (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","this item includes misceleneous products such as marinates which are semi-preserved herring or herring canned in sause. the information on products like rollmops indicate that the weight of herring in can is between 60-70% (average 65%). These products are made from herring fillets for which CF 2,05 was proposed in 0304 20 75. Thus the CF proposed is 2,05*65%=1,33 (source: Oceanic Developpement survey).",1.33
1925/2017,2018,1604 12 99,unchanged,"Herrings, prepared or preserved, whole or in pieces (excl. minced herrings and herring fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen and in airtight containers)",Same assumption as  for 16 04 12 91,1.33
1925/2017,2018,1604 13 11,unchanged,"Sardines, prepared or preserved, whole or in pieces, in olive oil (excl. minced sardines)","Some technical data indicate that we need 2,94 of whole sardine to get 1 kg of meat in can, hence CF 2,94 . The net weight of can (1/6) is 120g for net weight of 85gr which means 71% of fish. CF proposed 2,94*71%=2,09 (source: Oceanic Developpement survey).",2.09
1925/2017,2018,1604 13 19,unchanged,"Sardines, prepared or preserved, whole or in pieces (excl. minced sardines and sardines in olive oil)",Same assumption as for 1604 13 11,2.09
1925/2017,2018,1604 13 90,unchanged,"Prepared or preserved sardinella, brisling or sprats, whole or in pieces (excl. minced)","Sardinella has better yield than sardine. We need about 2,64 kg of sardinella to get 1 kg of meat. In the case of 1/2 high can the net weight of fish (290 gr) represents 71% of total net weight (410 gr) and represents CF of 1,87  (source: Oceanic Developpement survey).",1.87
1925/2017,2018,1604 14 21,unchanged,"Skipjack in vegetable oil, prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 26,unchanged,"Skipjack other (exc. 1604 14 21) fillets known as `loins`, prepared or preserved",same assumption as for 1604 14 16,2.38
1925/2017,2018,1604 14 28,unchanged,"Skipjack other (exc. 1604 14 21 and 1604 14 26), prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 31,unchanged,"Yellowfin tuna (Thunnus albacares) in vegetable oil, prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 36,unchanged,"Yellowfin tuna (Thunnus albacares) other (exc. 1604 14 31) fillets known as `loins`, prepared or preserved",same assumption as for 1604 14 16,2.38
1925/2017,2018,1604 14 38,unchanged,"Yellowfin tuna ( Thunnus albacares) other (exc. 1604 14 31 and 1604 14 36), prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 41,unchanged,"Other tuna ( exc. 1604 14 21 and 1604 14 31) in vegetable oil, prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 46,unchanged,Other tuna: other ( exc. 1604 14 26 and1604 14 36) fillets known as `loins` prepared or preserved,same assumption as for 1604 14 16,2.38
1925/2017,2018,1604 14 48,unchanged,"Other tuna: other (exc. 1604 14 41 and 1604 14 46), prepared or preserved",same assumption as for 1604 14 11,2.08
1925/2017,2018,1604 14 90,unchanged,"Prepared or preserved bonito ""sarda spp."", whole or in pieces (excl. minced)","In the absence of more data, thee same assumption as for 1604 11 11 ",2.08
1925/2017,2018,1604 15 11,unchanged,"Fillets of mackerel of the species Scomber scombrus and Scomber japonicus, prepared or preserved","For mackerel we need 2,64 kg of whole fish to get 1kg canned mackerel.The can 1/2 high format contains 290g of drained meat for total net weight of 410g (71%), thus CF 1,87 (source: Oceanic Developpement survey).",1.87
1925/2017,2018,1604 15 19,unchanged,"Mackerel of the species Scomber scombrus and Scomber japonicus, prepared or preserved, whole or in pieces (excl. minced mackerel and fillets of mackerel)","Here we have prepared mackerels without head, without tail, deskinned and without black meat. Based on CF of 2,40 used in Norway for this kind of mackerell, and based on meat weight corresponding to 71% of the net weigt of the can, the proposed CF is 1,70 (source: Oceanic Developpement survey).",1.70
1925/2017,2018,1604 15 90,unchanged,"Prepared or preserved mackerel of species Scomber australasicus, whole or in pieces (excl. minced)",In the abcence of data on this species we use CF which is an average of CFs for items 1604 15 11 and 1604 15 19 (source: Oceanic Developpement survey).,1.79
1925/2017,2018,1604 16 00,unchanged,"Prepared or preserved anchovies, whole or in pieces (excl. minced)","This item includes several types of preparations. Usually enchovy is prepared in the form of fillets, sometimes double fillets, without head and sentral bone, and mixed with ingredients such as oils and marinades. Based on CF used in Italy for this type of product (2,86) and assuming 30% of the weight of the other ingredients, the CF is 2,00  (source: Oceanic Developpement survey).",2.00
1925/2017,2018,1604 17 00,unchanged,"Prepared or preserved eels, whole or in pieces (excl. minced)",same assumption as for 1604 19 98,1.64
1925/2017,2018,1604 18 00,unchanged,"Shark fins, prepared or preserved, whole or in pieces, but not minced","The yield is estimated in various litterature to 5 %, indicating a CF of 20. However, to reduce the effect of double counting with other shark products such as ""other meat"",  a CF of 10 is proposed. ",10.00
1925/2017,2018,1604 19 10,unchanged,"Prepared or preserved salmonidae, whole or in pieces (excl. salmon and minced)",By anology with item 1604 11 00 (source: Oceanic Developpement survey).,1.87
1925/2017,2018,1604 19 31,unchanged,"Fillets known as ""loins"" of fish of the genus ""Euthynnus"" prepared or preserved (excl. of skipjack [Euthynnus Katsuwonus pelamis])","By analogy with CF used for skipjack loins (36%), CF 2,78 (source: Oceanic Developpement survey).",2.78
1925/2017,2018,1604 19 39,unchanged,"Prepared or preserved fish of the genus ""Euthynnus"", whole or in pieces (excl. minced, fillets known as ""loins"" and of skipjack [Euthynnus Katsuwonus pelamis])",The same assumption as for 1604 14 11 but with lower yield due to the type of species (34%) (source: Oceanic Developpement survey).,2.21
1925/2017,2018,1604 19 50,unchanged,"Prepared or preserved fish of species Orcynopsis unicolor, whole or in pieces (excl. minced)",Same assumption as for 16 04 19 39 due to the fact that these species are similar (source: Oceanic Developpement survey).,2.21
1925/2017,2018,1604 19 91,unchanged,"Frozen raw fish fillets, coated with batter or breadcrumbs, whether or not pre-fried in oil (excl. salmonidae, herrings, sardines, sardinella, brisling or sprats, tunas, skipjack and Atlantic bonito, bonito ""sarda spp."", mackerel, anchovies, fish of species Euthynnus and fish of species Orcynopsis unicolor)","This item presents skinned and boned fillets wich are packed with addition of bread crumps. Sample made on 10 products allowed to establish that there is about 62% of fish in the buttered fillets. We consider that raw material is made from skinned and boned fillets for which we propose CF of 2,65 which was proposed for 0304 20 95. Hence the proposed CF for butted fish is 1,64 (source: Oceanic Developpement survey).",1.64
1925/2017,2018,1604 19 92,unchanged,"Cod of the species Gadus morhua, Gadus ogac, Gadus macrocephalus, prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","The products in this item include precooked preparations of cod with other ingredients. We observe that the weight of cod is about 30% to 50% of the total product weight. Here we also have preparations such as fish steaks with spices and herbs with 80% of cod. We assume that preparations are made with fillets (CF 2,85 item 0304 20 29) with an average 60% of cod in the product, thus CF ptroposed is 2,85*60%=1,53  (source: Oceanic Developpement survey).",1.71
1925/2017,2018,1604 19 93,unchanged,"Coalfish ""Pollachius virens"", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","Same assumption with 60% of coalfish in the preparations made of fillets (CF 2,55 as for 0304 29 31), hence CF is 1,53 (source: Oceanic Developpement survey).",1.53
1925/2017,2018,1604 19 94,unchanged,"Hake ""Merluccius spp., Urophycis spp."", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","Same assumption as for 1604 19 93, with average CF 2,47 for hake fillets (0304 20 58), hence proposed CF is 1,48 (source: Oceanic Developpement survey).",1.48
1925/2017,2018,1604 19 95,unchanged,"Alaska pollack ""Theragra chalcogramma"" and pollack ""Pollachius pollachius"", prepared or preserved, whole or in pieces (excl. finely minced and fillets, raw, merely coated with batter or breadcrumbs, whether or not pre-fried in oil, frozen)","The speices dominating in this preparation is Allaska pollock. The use of this species in the prepared meals is very frequent due to the price of raw material. The sample of 30 products shows that the products contant between 25 and 92% of Alaska pollock with an average of 61%. CF for fillets was estimated at 2,95 (0304 29 85), hence CF proposed 2,95*61%=2,04 (source: Oceanic Developpement survey).",1.80
1925/2017,2018,1604 19 97,unchanged,"Other fish, (excl. 1604 11 00 to 1604 19 95),  wohle or in pieces, but not minced, prepared or preserved ",same assumption as for 1604 19 98,1.64
1925/2017,2018,1604 20 05,unchanged,Preparations of surimi,"Surimi preparation includes surimi and texturing agents such as starch and colorants. The sample of 12 products show that surimi represents between 27 and 45% in the product, with an average of 39%. The proposed CF for surimi is 5,15 (0304 90 05), hence the proposed CF is 5,15*39%=2,01  (source: Oceanic Developpement survey).",2.01
1925/2017,2018,1604 20 10,unchanged,Prepared or preserved salmon (excl. whole or in pieces),"The USA industry reports indicate a yield between 67% (Sockeye) and 65% (Pink) on round salmon, hence CF 1,52",1.52
1925/2017,2018,1604 20 30,unchanged,Prepared or preserved salmonidae (excl. salmon and whole or in pieces),Same assumption as for 1604 11 00,1.52
1925/2017,2018,1604 20 40,unchanged,Prepared or preserved anchovies (excl. whole or in pieces),"This item includes enchovy paste wich contain about 80% of fishmeat. We assume that this fishmeat is made from fillets (CF 1,67)multiplied by 80% gives CF1,33  (source: Oceanic Developpement survey).",1.33
1925/2017,2018,1604 20 50,unchanged,"Prepared or preserved sardines, bonito, mackerel of species Scomber scombrus and japonicus and fish of species Orcynopsis unicolor (excl. whole or in pieces)",By analogy with 1604 15 19  (source: Oceanic Developpement survey).,1.70
1925/2017,2018,1604 20 70,unchanged,"Prepared or preserved tunas, skipjack or other fish of genus Euthynnus (excl. whole or in pieces)",This item includes mainly tuna in small pieces. We popose same CF as for canned tuna because this CF covers all kind of meats including pieces   (source: Oceanic Developpement survey).,2.08
1925/2017,2018,1604 20 90,unchanged,"Fish, prepared or preserved (excl. fish whole or in pieces, preparations of surimi and salmonidae, anchovies, sardines, bonito, mackerel of the species Scomber scombrus and of the species Scomber japonicus and fish of the species Orcynopsis unicolor, tunas, skipjack and other fish of the species Euthynnus)",The proposed CF is an average of all CFs proposed for previous items concerning fish preparations (source: Oceanic Developpement survey).,1.84
1925/2017,2018,1604 31 00,unchanged,Caviar,"This item is considered to be a byproduct. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1604 32 00,unchanged,Caviar substitutes prepared from fish eggs,"This item is considered to be a byproduct. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1605 10 00,unchanged,"Crab, prepared or preserved (excl. smoked)",same assumption as for 1605 10 00,1.80
1925/2017,2018,1605 21 10,unchanged,"Shrimps and prawns, prepared or preserved, in immediate packings of a net content of <= 2 kg (excl. merely smoked, and in airtight containers)",Same assumption as for 1605 20 10,1.66
1925/2017,2018,1605 21 90,unchanged,"Shrimps and prawns, prepared or preserved, in immediate packings of a net content of > 2 kg (excl. merely smoked, and in airtight containers)",Same assumption as for 1605 20 10,1.66
1925/2017,2018,1605 29 00,unchanged,"Shrimps and prawns, prepared or preserved, in airtight containers (excl. smoked)",same assumption as for 1605 20 10,1.66
1925/2017,2018,1605 30 10,unchanged,"Lobster meat, cooked, for the manufacture of lobster butter or of lobster pastes, pÃ¢tÃ©s, soups or sauces","This item is considered to be a byproduct (source: Oceanic Developpement survey). To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,1605 30 90,unchanged,"Lobster, prepared or preserved (excl. merely smoked",same assumption as for 1605 30 90,2.16
1925/2017,2018,1605 40 00,unchanged,"Crustaceans, prepared or preserved (excl. smoked, crabs, shrimps, prawns and lobster)",same assumption as fpor 1605 40 00,2.40
1925/2017,2018,1605 51 00,unchanged,"Oysters, prepared or preserved (excl. smoked)",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 52 00,unchanged,"Scallops, incl. queen scallops, prepared or preserved (excl. smoked)","The assumption is that these scallops are traded without shells and without Gonad, which gives a  basis conversion factor of 9,1 according to FAO. A processing factor of 0,75 is then added to take into account the added weight of processed/prepared products. This gives a CF of 9,1*0,75 = 6,83.",6.83
1925/2017,2018,1605 53 10,unchanged,"Mussels, prepared or preserved, in airtight containers (excl. merely smoked)",same assumption as for 1605 90 11 ,2.61
1925/2017,2018,1605 53 90,unchanged,"Mussels, prepared or preserved (excl. in airtight containers, and merely smoked)",Same assumption as for 1605 90 11,2.61
1925/2017,2018,1605 54 00,unchanged,"Cuttlefish and squid, prepared or preserved",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 55 00,unchanged,"Octopus, prepared or preserved (excl. smoked)",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 56 00,unchanged,"Clams, cockles and arkshells, prepared or preserved (excl. smoked)",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 57 00,unchanged,"Abalone, prepared or preserved (excl. smoked)",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 59 00,unchanged,"Other molluscs (excl. 1605 51 00 to 1605 58 00), prepared or preserved",same assumption as for 1605 90 30,1.36
1925/2017,2018,1605 61 00,unchanged,"Sea cucumbers, prepared or preserved (excl. smoked)",same assumption as for 1605 90 90,1.00
1925/2017,2018,1605 62 00,unchanged,"Sea urchins, prepared or preserved (excl. smoked)",same assumption as for 1605 90 90,1.00
1925/2017,2018,1605 63 00,unchanged,"Jellyfish, prepared or preserved (excl. smoked)",same assumption as for 1605 90 90,1.00
1925/2017,2018,1605 69 00,unchanged,"Aquatic invertebrates, prepared or preserved (excl. smoked, crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",same assumption as for 1605 90 90,1.00
1925/2017,2018,1902 20 10,unchanged,"Stuffed pasta, whether or not cooked or otherwise prepared, containing more than 20 % by weight of fish, crustaceans, molluscs or other aquatic invertebrates","According to the information from the industry an estimated CF for this product category is 1,00",1.00
1925/2017,2018,2104 10 00,unchanged,"Soups and broths and preparations therefor of fish, crustaceans, molluscs or other aquatic invertebrates","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,2104 20 00,unchanged,"Homogenised composite food preparations of fish, crustaceans, molluscs or other aquatic invertebrates","Considered to be primarily consisting of by-products from fish-, crustaceans- or molluscs-products, where main product's CF is already accounting for by-product share. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1925/2017,2018,2301 20 00,unchanged,"Flours, meals and pellets of fish, crustaceans, molluscs or other aquatic invertebrates","Flours, meals and pellets of fish is  considered as a byproduct. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
2263/2002,2018,2309 90 10,unchanged,Fish or marine mammal solubles,"Fish or marine mammal solubles are considered as byproducts and are not meant for human consumption. To avoid double counting, by-products should be excluded from the calculation to live weight, or seen in relation to CN8-codes anticipated to cover the main-product. Thus CF 0,00. ",0.00
1821/2016,2017,0301 11 00,unchanged,Live ornamental freshwater fish,The assumption made in the Oceanic Developpement survey is that this product is not meant for human consumption or industrial use.,0.00
1821/2016,2017,0301 19 00,unchanged,Live ornamental saltwater fish,The assumption made in the Oceanic Developpement survey is that this product is not meant for human consumption or industrial use.,0.00
1821/2016,2017,0301 91 10,unchanged,"Live trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""",The assumption made in the Oceanic Developpement survey is that a part of this product is used for human consumption as it is and the other part for on-growing in the aquaculture sector. ,1.00
1821/2016,2017,0301 91 90,unchanged,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae""",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 92 10,unchanged,"Live eels ""Anguilla spp."", of a length of < 12 cm",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 92 30,unchanged,"Live eels ""Anguilla spp."", of a length of => 12 cm but < 20 cm",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 92 90,unchanged,"Live eels ""Anguilla spp."", of a length of => 20 cm",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 93 00,unchanged,Live carp,Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 94 10,unchanged,"Live bluefin tunas ""Thunnus thynnus""",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 94 90,unchanged,"Live Pacific bluefin tuna ""Thunnus orientalis""",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 95 00,unchanged,"Live southern bluefin tunas ""Thunnus maccoyii""",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 99 11,unchanged,"Live Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 99 17,New code,"Other freshwater fish (excl. 0301 99 11), live",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0301 99 85,unchanged,"Live saltwater fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster], eels [Anguilla spp.], Atlantic and Pacific bluefin tunas [Thunnus thynnus, Thunnus orientalis] and southern bluefin tunas [Thunnus maccoyii])",Same assumption as for 03 01 91 10,1.00
1821/2016,2017,0302 11 10,unchanged,"Fresh or chilled trout ""Oncorhynchus apache and Oncorhynchus chrysogaster""","According to articles in the trade publications validated by professionals, trout is traded whole, unprepared, as it is mentioned in the Oceanic Developpement survey.",1.00
1821/2016,2017,0302 11 20,unchanged,"Fresh or chilled trout of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each","We assume that large trout is predominantly traded gutted, head on (CF1,13), while a small amount is sold gutted, head off (CF1,28). Thus the proposed CF is a mean value of these two CFs. ",1.15
1821/2016,2017,0302 11 80,unchanged,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae"" (excl. of the species ""Oncorhynchus mykiss"", with heads on and gills on, gutted, weighing > 1,2 kg each, or with heads off, gilled and gutted, weighing > 1 kg each)","This product item includes a combination of whole round trout (CF 1,00) and some gutted, head on (CF 1,13). The proposed CF is a mean value of these two CFs. ",1.05
1821/2016,2017,0302 13 00,unchanged,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus""",Same assumption as for 0302 12 00,1.14
1821/2016,2017,0302 14 00,unchanged,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",Same assumption as for 0302 12 00,1.14
1821/2016,2017,0302 19 00,unchanged,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"", Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"")",Same assumption as for 0302 12 00,1.14
1821/2016,2017,0302 21 10,unchanged,"Fresh or chilled lesser or Greenland halibut ""Hippoglossus hippoglossus""","As mentioned in the Oceanic Developpement survey, according to the 1996 Cofrépêche survey the same CF (1,09) is used in the fishing MS for the gutted form, which predominates in the trade",1.09
1821/2016,2017,0302 21 30,unchanged,"Fresh or chilled Atlantic halibut ""Hippoglossus hippoglossus""","As mentioned in the Oceanic Developpement survey, this species is imported from Canada, Iceland and Norway. Canadian scientists have published an article setting CF of 1,14 for gutted form and 1,26 for gutted and headed. The assumption made in the Oceanic Developpement survey is that. based on the trade publications, the traded products are gutted.",1.14
1821/2016,2017,0302 21 90,unchanged,"Fresh or chilled Pacific halibut ""Hippoglossus stenolepis""","According to the assumption made in in the Oceanic Developpement survey, due to the distance between catching areas and the EU market, this species is exported to EU headed and gutted., thus the Canadian CF is adopted.",1.30
1821/2016,2017,0302 22 00,unchanged,"Fresh or chilled plaice ""Pleuronectes platessa""","According to the assumption made in in the Oceanic Developpement survey, this species is traded gutted. The porposed CF is identified in the 1996 Cofrépêche survey (achievement of MAAF - UK). The proposed CF is also identified in the EU Regulation No 404/2011 for the gutted form of presentation.",1.07
1821/2016,2017,0302 23 00,unchanged,"Fresh or chilled sole ""Solea spp.""","The proposed CF 1,04 is identified in the EU Regulation No 404/2011 for the gutted form of presentation.",1.04
1821/2016,2017,0302 24 00,unchanged,"Fresh or chilled turbot ""Psetta maxima""",same assumption as for 0302 29 90,1.10
1821/2016,2017,0302 29 10,unchanged,"Fresh or chilled megrim ""Lepidorhombus spp.""","Same assumption as for 03 02 22 00. CF of 1,04 measured by IFREMER (FR) and MAAF (UK)",1.04
1821/2016,2017,0302 29 80,unchanged,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Catharidae"" (excl. lesser or Greenland halibut, Atlantic halibut, Pacific halibut, plaice, sole, turbot and megrim)",same assumption as for 0302 29 90,1.10
1821/2016,2017,0302 31 10,unchanged,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"" for industrial processing or preservation","Based on historical landing and trade data and interviews with industry experts, it is assumed that trade of this product consists of a combination of fresh Albacore from the pole and line fleet, landed as fresh whole but processed (gutted and headed) before sales/exports (CF=1,15), and fresh Albacore from the pair trawl fleet, landed as whole (CF=1) and exported as such. Hence an average CF of 1,08 is chosen.",1.08
1821/2016,2017,0302 31 90,unchanged,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga"" (excl. for industrial processing or preservation)","Based on historical landing and trade data and interviews with industry experts, it is assumed that trade of this product consists of a combination of fresh Albacore from the pole and line fleet, landed as fresh whole but processed (gutted and headed) before sales/exports (CF=1,15), and fresh Albacore from the pair trawl fleet, landed as whole (CF=1) and exported as such. Hence an average CF of 1,08 is chosen.",1.08
1821/2016,2017,0302 32 10,unchanged,"Fresh or chilled yellowfin tunas ""Thunnus albacares"" for industrial processing or preservation",Same assumption as for 03 02 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled. ,1.13
1821/2016,2017,0302 32 90,unchanged,"Fresh or chilled yellowfin tunas ""Thunnus albacares"" (excl. for industrial processing or preservation)",Same assumption as for 03 02 31 10 and 03 02 31 90. The CF proposed is the CF proposed by ICCAT for gutted and gilled. ,1.13
1821/2016,2017,0302 33 10,unchanged,Fresh or chilled skipjack or stripe-bellied bonito for industrial processing or preservation,"According to the assumption made in in the Oceanic Developpement survey, Skipjack is most often kept on board is is, hence a CF of 1,00",1.00
1821/2016,2017,0302 33 90,unchanged,Fresh or chilled skipjack or stripe-bellied bonito (excl. for industrial processing or preservation),Same assumption as for 03 02 33 10,1.00
1821/2016,2017,0302 34 10,unchanged,"Fresh or chilled bigeye tunas ""Thunnus obesus"" for industrial processing or preservation","We assume that this fish is gutted and thus the proposed CF of 1,10 indicated in the EU Regulation No404/2011",1.10
1821/2016,2017,0302 34 90,unchanged,"Fresh or chilled bigeye tunas ""Thunnus obesus"" (excl. tunas for industrial processing or preservation)",Same assumption as for 0302 34 10,1.10
1821/2016,2017,0302 35 11,unchanged,"Fresh or chilled bluefin tunas ''Thunnus thynnus'', for industrial processing or preservation","Same assumption as for  0302 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled, indicated in the oceanic Developpement survey. ",1.16
1821/2016,2017,0302 35 19,unchanged,Fresh or chilled bluefin tunas ''Thunnus thynnus'' (excl. tunas for industrial processing or preservation),"Same assumptions as for 0302 31 10. The CF proposed is the CF proposed by ICCAT for gutted and gilled, indicated in the oceanic Developpement survey. ",1.16
1821/2016,2017,0302 35 91,unchanged,"Fresh or chilled Pacific bluefin tuna ""Thunnus orientalis"", for industrial processing or preservation",same assumption as for 0302 39 10,1.14
1821/2016,2017,0302 35 99,unchanged,"Fresh or chilled Pacific bluefin tuna ""Thunnus orientalis"" (excl. for industrial processing or preservation)",Same assumption as for 03 02 35 10,1.16
1821/2016,2017,0302 36 10,unchanged,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"" for industrial processing or preservation",Same assumption as for  0302 31 10,1.15
1821/2016,2017,0302 36 90,unchanged,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii"" (excl. tunas for industrial processing or preservation)",Same assumption as for  0302 31 10,1.15
1821/2016,2017,0302 39 20,unchanged,"Fresh or chilled tunas of the genus ""Thunnus"" for industrial processing or preservation (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",same assumption as for 0302 39 10,1.14
1821/2016,2017,0302 39 80,unchanged,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. tunas for industrial processing or preservation and Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis and Thunnus maccoyii)",Same assumption as for 03 02 35 10,1.16
1821/2016,2017,0302 41 00,unchanged,"Fresh or chilled herrings ""Clupea harengus, clupea pallasii""","As indicated in the Oceanic Developpement survey, the predominant species in this product group is C. harengus. According to the informations from the trade publications it is exported whole. The Oceanic Developpement report mentions that the CF for this species is measured 1,04 by FR and 1,08 by DE to take into account losses of scales and fluids.",1.00
1821/2016,2017,0302 42 00,unchanged,"Fresh or chilled anchovies ""Engraulis spp.""","As identified in the Oceanic Developpement survey, anchovy is traded unprepared.",1.00
